C1, 3.68, 11.56, 90.00, 2.2uF, C0805K
C10, 17.65, 24.00, 90.00, 1uF, C0603K
C11, 19.43, 24.00, 90.00, 1uF, C0603K
C12, 25.91, 24.77, 90.00, 1uF, C0603K
C13, 27.69, 24.77, 90.00, 1uF, C0603K
C14, 28.07, 18.03, 90.00, 12pF, C0603K
C15, 28.07, 14.22, 270.00, 12pF, C0603K
C16, 36.20, 14.02, 270.00, 5pF, C0402S
C17, 37.59, 13.59, 270.00, 5pF, C0402S
C18, 42.39, 19.05, 180.00, 100nF, C0603K
C19, 42.39, 17.53, 180.00, 100nF, C0603K
C2, 5.46, 11.56, 90.00, 2.2uF, C0805K
C20, 42.39, 14.22, 180.00, 100nF, C0603K
C21, 42.39, 12.70, 180.00, 100nF, C0603K
C22, 50.42, 22.99, 90.00, 10nF, C0402K
C23, 21.84, 16.13, 180.00, 100nF, C0402K
C24, 32.89, 16.13, 180.00, 100nF, C0402K
C25, 39.12, 18.92, 90.00, 100nF, C0402K
C26, 36.20, 17.14, 180.00, 100nF, C0204K
C3, 7.24, 11.56, 90.00, 2.2uF, C0805K
C4, 9.02, 11.56, 90.00, 2.2uF, C0805K
C5, 3.68, 19.56, 270.00, 2.2uF, C0603K
C6, 5.46, 19.56, 270.00, 2.2uF, C0603K
C7, 7.24, 19.56, 270.00, 2.2uF, C0603K
C8, 9.02, 19.56, 270.00, 2.2uF, C0603K
C9, 15.88, 24.00, 90.00, 1uF, C0603K
D1, 46.46, 11.94, 180.00, RF05VAM2STR, DIO
FB1, 19.23, 18.54, 270.00, 330Ω, 700mA, 0402
FB2, 32.77, 19.30, 270.00, 330Ω, 700mA, 0402
FB3, 37.59, 18.92, 270.00, 330Ω, 700mA, 0402
L1, 44.20, 21.08, 0.00, 3.6nH, 0603
Q1, 39.75, 15.88, 90.00, EPC2214, EPC2214
R1, 15.70, 14.73, 90.00, 49R9, R0805
R10, 37.47, 11.05, 0.00, 100K0, R0603
R11, 38.38, 15.88, 0.00, 0R0, R0201
R12, 38.38, 15.24, 0.00, 0R0, R0201
R13, 33.40, 17.40, 0.00, 10R0, R0402
R14, 33.40, 14.86, 0.00, 10R0, R0402
R15, 33.91, 12.70, 90.00, DNP, R0402
R16, 47.63, 21.08, 0.00, 2R4, R0603
R17, 48.26, 24.26, 180.00, 1K0, R0402
R18, 45.72, 24.26, 0.00, 49R9, R0402
R2, 21.59, 14.61, 0.00, 100R0, R0603
R3, 25.40, 14.61, 0.00, 56R0, R0603
R4, 23.50, 17.65, 0.00, 100R0, R0603
R5, 40.13, 9.65, 270.00, 3R9, R0402
R6, 41.78, 9.65, 270.00, 3R9, R0402
R7, 43.43, 9.65, 270.00, 3R9, R0402
R8, 45.09, 9.65, 270.00, 3R9, R0402
R9, 16.13, 19.56, 270.00, 0R0, R1206
U1, 12.45, 21.21, 180.00, MCP1703T-5002E/MC, DFN8
U2, 23.75, 21.08, 180.00, MCP1703T-3302ECB, SOT95
U3, 18.92, 16.13, 0.00, NC7WZ16L6X, MICROPAK6
U4, 29.97, 16.13, 0.00, NC7WZ16L6X, MICROPAK6
U5, 37.34, 15.37, 0.00, LMG1020, YFF0006
